gold_no,gold_domain,selection_reason,selection_bucket,source_status,claim_id,article_id,title,date,url,claim_text,metric,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,refined_claim_type,refined_claim_number,actual_period,actual_prev_period,refined_actual_number,refined_verdict,api_error,reviewer_note,manual_kosis_evidence,remap_kosis_evidence,gold_review_status,gold_reviewed_at,baseline_verifiable_pred,gold_verifiable,gold_exclusion_reason,gold_org_id,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_prd_se,gold_target_number,gold_target_period,gold_prev_period,gold_calculation_mode,gold_mapping_note,codebook_api_success,codebook_actual_number,codebook_current_value,codebook_previous_value,codebook_unit,gold_verdict,gold_diff,gold_evidence,codebook_api_error,baseline_eligibility_correct,baseline_table_correct,baseline_item_correct,baseline_period_correct,baseline_item_period_correct,baseline_api_success,baseline_verdict_correct
28,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C05892,747,대기업 10곳 중 6곳 “올 상반기 신규 채용 안하거나 미정”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/BFFXVPEDCRFRBHRFPYJDCVV23M,"신규 채용을 늘리겠다고 응답한 기업들은 경기 상황과 관계없이 미래 인재 확보 차원(83.3%), 회사가 속한 업종의 경기 상황 호전(16.7%) 등을 주된 이유로 꼽았다.",고용지표,101,DT_1DA7001S,0,,T30,Y,LEVEL,16.7,2025,2024,28768.9,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,기업 채용계획 설문,N/A,,,,,판단불가,,KOSIS 미제공: 기업 채용계획 설문,,N,N/A,N/A,N/A,N/A,N/A,N
29,고용,층화표본:판단불가,판단불가,판단불가_증감계산값없음,C07324,922,‘쉬었음’ 청년 50만명 넘어서... 청년 고용률 49개월 만에 최대 낙폭,2025-03-12,https://www.chosun.com/economy/economy_general/2025/03/12/RYNZ7HLF3JCOJKSPPE4VJMSTEE,기획재정부 관계자는 “예전에는 대학을 졸업하거나 구직을 희망하기 시작한 시기부터 대략 8~9개월 정도면 평균적으로 취업에 성공했지만 요즘은 1년 가까이 구직 기간이 늘었다”고 했다.,고용지표,101,DT_1DA7002S,75,,T90,Y,CHANGE_RATE,,2025,2024,-2.386117136659439,판단불가,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,N,KOSIS 미제공,,,,,,,,,,,평균 구직기간 인용문,N/A,,,,,판단불가,,KOSIS 미제공: 평균 구직기간 인용문,,Y,N/A,N/A,N/A,N/A,N/A,Y
30,고용,층화표본:판단불가,판단불가,판단불가_전망문장,C09229,1193,“작년 역대 최고 고용 달성? 외국인·노인 고용 늘어난 통계적인 착시에 불과”,2025-04-02,https://www.chosun.com/economy/economy_general/2025/04/02/NE2LONUUMBEZVI5DDJRPBMDR7U,"1일 예산정책처는 ‘경제 전망’ 보고서에서 작년 연간 취업자가 전년 대비 15만9000명 늘어나면서 15세 이상 고용률이 62.7%로 역대 최대를 기록했지만, 늘어난 일자리의 대부분을 외국인과 노인이 차지했다는 분석 결과를 밝혔다.",고용지표,101,DT_1DA7001S,0,,T90,Y,ABS_TO_ABS,62.7,2024,2023,62.7,일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,Y,,101,DT_1DA7001S,0,,T90,Y,62.7,2024,,LEVEL,15세 이상 연간 고용률,Y,62.7,62.7,,%,일치,0.0,DT_1DA7001S 2024=62.7; =None; KOSIS 수준값; 결과=62.7,,N,Y,Y,Y,Y,Y,Y
31,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C09952,1285,3월 청년 실업률 7.5%... 코로나 이후 최고,2025-04-09,https://www.chosun.com/economy/economy_general/2025/04/09/S5F7BYR5GJDQZFTEJM6L2KWREQ,지난달 청년층 실업률은 전체 연령대 실업률(3.1%)의 2.4배에 달한다.,고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,3.1,202503,202502,3.1,일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202503 전체 실업률 3.1%로 주장 3.1%와 일치,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,75,,T80,M,2.4,202503,,RATIO,청년 실업률 / 전체 실업률,Y,2.4193548387096775,7.5,3.1,%,일치,0.01935483870967758,DT_1DA7002S 202503=7.5; =3.1; 분자/분모 비율; 결과=2.4193548387096775,,Y,N,N,Y,N,Y,Y
32,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C09996,1292,3월 청년 실업률 7.5%… 4년 만에 최대치 기록,2025-04-10,https://www.chosun.com/economy/economy_general/2025/04/10/6WLSW5D3JFC3XHV6BX4GAXERTU,9일 통계청은 ‘3월 고용 동향’에서 지난달 15~29세 청년 실업자는 28만9000명으로 전년 동월 대비 2만6000명 늘었다고 밝혔다.,인원수,101,DT_1DA7001S,0,,T80,M,ABS_TO_ABS,6000.0,202403,202303,3.0,불일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,75,,T40,M,289.0,202503,,LEVEL,15~29세 실업자 천명,Y,289.4,289.4,,천명,일치,0.0013840830449826202,DT_1DA7002S 202503=289.4; =None; KOSIS 수준값; 결과=289.4,,Y,N,N,N,N,Y,N
33,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C14392,1897,"자체 한국어 시험, 식당엔 스리라차… K조선소 ‘다문화 용광로’ 변신",2025-05-26,https://www.chosun.com/economy/industry-company/2025/05/26/HRLHD3WEMRDOVDOYQMCGEETZJU,"특히 최근 새로 채용되는 인력의 80%가 외국인이라, 비율은 더 가파르게 늘 전망이다.",고용지표,101,DT_1DA7001S,0,,T30,Y,LEVEL,80.0,2025,2024,28768.9,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,개별 기업 외국인 채용 비중,N/A,,,,,판단불가,,KOSIS 미제공: 개별 기업 외국인 채용 비중,,N,N/A,N/A,N/A,N/A,N/A,N
34,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C14427,1903,노인 고용률 OECD 1위지만...65세 근로자 3명 중 1명은 ‘단순 노무직’,2025-05-27,https://www.chosun.com/economy/economy_general/2025/05/27/NE3J4GIGIREKTLPROKLTL2NF3M,이 비율은 70세 재취업자의 경우 59.6%까지 증가했다.,고용지표,101,DT_1DA7001S,0,,T90,Y,CHANGE_RATE,59.6,2025,2024,0.3189792663476806,불일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,70세 재취업자 조사 비율,N/A,,,,,판단불가,,KOSIS 미제공: 70세 재취업자 조사 비율,,N,N/A,N/A,N/A,N/A,N/A,N
35,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15966,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"11일 통계청의 ‘2025년 5월 고용동향’에 따르면, 지난달 취업자는 2916만명으로 전년 동월 대비 24만5000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,2916.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7001S,0,,T30,M,29160.0,202505,,LEVEL,전체 취업자 천명,Y,29159.8,29159.8,,천명,일치,6.858710562439218e-06,DT_1DA7001S 202505=29159.8; =None; KOSIS 수준값; 결과=29159.8,,Y,Y,Y,N,N,Y,N
36,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C15980,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,실업률은 2.8%로 집계됐다.,고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,2.8,202505,,2.8,일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202505 전체 실업률 2.8%로 주장 2.8%와 일치,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7001S,0,,T80,M,2.8,202505,,LEVEL,전체 실업률,Y,2.8,2.8,,%,일치,0.0,DT_1DA7001S 202505=2.8; =None; KOSIS 수준값; 결과=2.8,,Y,Y,Y,Y,Y,Y,Y
37,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15981,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"일도, 구직 활동도 하지 않은 채 그냥 시간을 보냈다는 ‘쉬었음’ 인구는 지난달 239만명으로 전년 동월 대비 5만6000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,239.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,지역·분류 불일치,,,,,,,,,,,비경제활동 사유 '쉬었음'은 경제활동인구 총괄 표 항목이 아님,N/A,,,,,판단불가,,지역·분류 불일치: 비경제활동 사유 '쉬었음'은 경제활동인구 총괄 표 항목이 아님,,N,N/A,N/A,N/A,N/A,N/A,N
38,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C19439,2558,제조업 취업자 1년째 내리막에...‘쉬었음’ 20대 5년 만 최대,2025-07-16,https://www.chosun.com/economy/economy_general/2025/07/16/JJGWFZ2EF5BPZPOLN4O4NQHNLU,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,고용지표,101,DT_1DA7002S,20,,T90,M,LEVEL,70.3,202605,202604,59.4,불일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,63,,T90,M,70.3,202506,,LEVEL,15~64세 고용률,Y,70.3,70.3,,%,일치,0.0,DT_1DA7002S 202506=70.3; =None; KOSIS 수준값; 결과=70.3,,Y,Y,N,N,N,Y,N
39,고용,층화표본:판단불가,판단불가,판단불가_파라미터미확정,C19540,2569,"“그냥 쉬었다”는 20대, 5년 새 가장 많아",2025-07-17,https://www.chosun.com/economy/economy_general/2025/07/17/NDNGACBI4RAZJBDEMRKGKVA5KY,특히 20대 쉬었음 인구는 39만6000명으로 전년 동월 대비 2000명 늘었다.,인구지표,101,DT_1DA7300AS,,,T00,M,CHANGE_RATE,2000.0,,,,판단불가,obj_l1/itm_id 미확정으로 API 조회 보류,청년층 고용보조지표 후보 선택. 쉬었음 항목 포함 여부 확인 필요 | 고용보조지표 세부항목 코드 직접 확인 필요,,,수동확정,2026-07-14,N,N,지역·분류 불일치,,,,,,,,,,,20대와 '쉬었음' 사유를 동시에 구분하는 별도 표가 필요,N/A,,,,,판단불가,,지역·분류 불일치: 20대와 '쉬었음' 사유를 동시에 구분하는 별도 표가 필요,,Y,N/A,N/A,N/A,N/A,N/A,Y
40,고용,기존 수동확정 근거 앵커,확정근거,검증완료_재매핑확정일치,C19960,2638,한국서 희망 못 찾는 20대… 취업자 2년 11개월째 감소,2025-10-18,https://www.chosun.com/economy/economy_general/2025/10/18/GSSQHOVG2FAW7LHONSQ4KIKFEY/,20대 고용률은 지난해 9월(-0.2%포인트) 이후 13개월 연속 오르지 못하고 있다.,고용지표,101,DT_1DA7002S,20,,T90,M,POINT_CHANGE,-0.2,202509,202409,-0.2,일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,"20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치","20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치",수동확정,2026-07-14,Y,Y,,101,DT_1DA7002S,20,,T90,M,-0.2,202509,202409,POINT_CHANGE,20~29세 고용률 전년동월 차이,Y,-0.19999999999999574,60.7,60.9,%,일치,4.274358644806853e-15,DT_1DA7002S 202509=60.7; 202409=60.9; 두 시점 차이; 결과=-0.19999999999999574,,Y,Y,Y,Y,Y,Y,Y
41,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C00078,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,LEVEL,6838.0,2024,2023,6836.09488,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,6838.0,2024,,LEVEL,"통관 기준 총수출, 천달러를 억달러로 변환",Y,6836.094880000001,6836.094880000001,,천달러,일치,0.0002786077800525654,DT_1R11001_FRM101 2024=6836.094880000001; =None; KOSIS 수준값; 결과=6836.094880000001,,Y,Y,Y,Y,Y,Y,Y
42,무역,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C00090,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,CHANGE_RATE,6.6,202412,202312,6.576076126262444,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"202312 57,573,193 -> 202412 61,359,250천달러, 전년동월비 6.576%로 주장 6.6%와 일치",,수동확정,2026-07-14,Y,Y,,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,6.6,202412,202312,CHANGE_RATE,통관 기준 총수출 전년동월비,Y,6.576076126262444,61359250.0,57573193.0,천달러,일치,0.023923873737556,DT_1R11001_FRM101 202412=61359250.0; 202312=57573193.0; 두 시점 증감률; 결과=6.576076126262444,,Y,Y,Y,Y,Y,Y,Y
43,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C00515,57,"“보험사, 올해 경기 불확실성 확대로 인한 유동성 모니터링 강화해야”",2025-01-05,https://www.chosun.com/economy/money/2025/01/05/4RQQJHQPRSPR4FCEJPVQ2FVIJE,연구원은 올해 내수가 완만히 개선되는 가운데 수출 증가세가 둔화하면서 경제성장률은 작년에 비해 다소 하락한 2% 수준이 될 것으로 예상했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,2.0,2024,2023,8.127422520469521,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,정보 부족,,,,,,,,,,,경제성장률 전망이며 관측 수출 실적이 아님,N/A,,,,,판단불가,,정보 부족: 경제성장률 전망이며 관측 수출 실적이 아님,,N,N/A,N/A,N/A,N/A,N/A,N
44,무역,층화표본:판단불가,판단불가,판단불가_정확시점조회실패,C01375,191,“트럼프 2기 출범 후 일괄 관세 부과하면 한국 수출 큰 타격”,2025-01-15,https://www.chosun.com/economy/economy_general/2025/01/15/NGXOCXC67ZDMXJGBKFCDZHY77Q,한국의 수출 증가율(전년 동월 대비)은 지난해 7월 13.5%를 기록한 이후 계속해서 떨어져 지난 11월에는 1.4%로 둔화됐다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,CHANGE_RATE,1.4,202411,202311,1.3094397536117452,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,Y,,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,1.4,202411,202311,CHANGE_RATE,통관 기준 총수출 전년동월비,Y,1.3094397536117452,56288629.0,55561090.0,천달러,일치,0.09056024638825466,DT_1R11001_FRM101 202411=56288629.0; 202311=55561090.0; 두 시점 증감률; 결과=1.3094397536117452,,N,Y,Y,Y,Y,Y,Y
45,무역,층화표본:판단불가,판단불가,판단불가_API조회실패,C01491,204,환율 급등에… 지난달 수입 물가 1년 새 7% 올라,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/KFNWNIFDPZF53CYGWMZQWEYAJU,세부 품목 중에선 원산지인 브라질과 베트남의 가뭄 때문에 커피(95.4%) 수입 가격이 1년 전보다 크게 뛰기도 했다.,무역지표,301,DT_401Y015,13102134643ACC_CD.*AA,,13103134643999,Y,LEVEL,95.4,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),수입물가지수 후보 선택. 기본분류/통화 기준 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,N,지역·분류 불일치,,,,,,,,,,,커피 수입가격은 무역 수입액 표와 지표가 다름,N/A,,,,,판단불가,,지역·분류 불일치: 커피 수입가격은 무역 수입액 표와 지표가 다름,,Y,N/A,N/A,N/A,N/A,N/A,Y
46,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C01924,268,새해 첫 20일 수출 5.1%↓ 엿새 설 연휴로 1월 전체 수출 감소 가능성,2025-01-21,https://www.chosun.com/economy/economy_general/2025/01/21/I6KIDJTHINBDZJKIJQNJX7YJ5Q,"그 결과 작년 한 해 전체 수출액은 6838억달러로 1년 전 대비 8.2% 증가했고, 기존 역대 최대 규모였던 2022년 기록(6836억달러)을 깨고 역대 최대 수출 실적을 달성했다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,8.2,2024,2023,8.127422520469521,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,8.2,2024,2023,CHANGE_RATE,통관 기준 총수출 전년비,Y,8.127422520469521,683609488.0,632225824.0,천달러,일치,0.07257747953047833,DT_1R11001_FRM101 2024=683609488.0; 2023=632225824.0; 두 시점 증감률; 결과=8.127422520469521,,Y,Y,Y,Y,Y,Y,Y
47,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C02176,298,"저조한 내수에 계엄, 탄핵, 여객기 사고 여파까지…4분기 성장 0.1%",2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/X67EMVNMCNF3PIODGNPUZMAQHU,"이에 따라 성장기여도는 순수출(수출-수입)이 -0.8%포인트에서 0.1%포인트로 올라간 반면, 내수의 성장기여도는 0.8%포인트에서 0%포인트로 떨어졌다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,ABS_TO_ABS,0.0,2025,2024,709330045.0,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,GDP 성장기여도,N/A,,,,,판단불가,,KOSIS 미제공: GDP 성장기여도,,N,N/A,N/A,N/A,N/A,N/A,N
48,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C03779,478,"작년 경상수지 흑자 990억달러...전년보다 3배로↑,역대 두번째 규모",2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/RO32ISHXHREYLO3V4B2GJHWXEI,작년 12월 수출은 전년보다 6.6% 늘어난 633억달러를 기록했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,LEVEL,633.0,202412,202411,613.5925,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,301,DT_301Y013,13102134519ACC_CD.110000,,13103134519999,M,633.0,202412,,LEVEL,"국제수지 상품수출, 백만달러를 억달러로 변환",Y,633.736,633.736,,백만달러,일치,0.0011627172195892417,DT_301Y013 202412=633.736; =None; KOSIS 수준값; 결과=633.736,,Y,N,N,Y,N,Y,Y
49,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C03850,489,경상수지 역대 둘째로 많은 흑자 낸 까닭은,2025-02-07,https://www.chosun.com/economy/economy_general/2025/02/07/JXWFUVYXYRFO3OXEWCPCGJUSGE,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,LEVEL,633.0,202412,202411,613.5925,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,301,DT_301Y013,13102134519ACC_CD.110000,,13103134519999,M,633.0,202412,,LEVEL,"국제수지 상품수출, 백만달러를 억달러로 변환",Y,633.736,633.736,,백만달러,일치,0.0011627172195892417,DT_301Y013 202412=633.736; =None; KOSIS 수준값; 결과=633.736,,Y,N,N,Y,N,Y,Y
50,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C04067,513,美 보편관세 부과땐... 작년 한국 수출액의 1.9% 날아간다,2025-02-09,https://www.chosun.com/economy/industry-company/2025/02/09/Q7MADBZN2RG77FHRLLCOZSLZLA,"미국의 수입 상위 30국 중 칠레(-2.26%), 호주(-7.04%), 일본(-7.32%)에 이어 넷째로 적게 감소할 것으로 분석됐다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,CHANGE_RATE,-7.32,2025,2024,-3.843459068703951,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,,수동확정,2026-07-14,Y,N,정보 부족,,,,,,,,,,,분석 모형의 예상 감소율,N/A,,,,,판단불가,,정보 부족: 분석 모형의 예상 감소율,,N,N/A,N/A,N/A,N/A,N/A,N
51,무역,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C04394,555,‘무역 전쟁’ 먹구름… KDI도 성장률 전망 1.6%로 낮췄다,2025-02-12,https://www.chosun.com/economy/economy_general/2025/02/12/ET3EQF2MVBAHFFHKLSQYVTVVTM,지난해 수출은 전년 대비 8.2% 증가하며 역대 최대 실적을 기록했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,8.2,2024,2023,8.127422520469521,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"2023 632,225,824 -> 2024 683,609,488천달러, 8.127% 증가로 주장 8.2%와 일치",,수동확정,2026-07-14,Y,Y,,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,8.2,2024,2023,CHANGE_RATE,통관 기준 총수출 전년비,Y,8.127422520469521,683609488.0,632225824.0,천달러,일치,0.07257747953047833,DT_1R11001_FRM101 2024=683609488.0; 2023=632225824.0; 두 시점 증감률; 결과=8.127422520469521,,Y,Y,Y,Y,Y,Y,Y
52,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C05519,706,트럼프 관세 위협에 벤츠·GM 美생산 확대 검토,2025-02-24,https://www.chosun.com/economy/auto/2025/02/24/SCJ4LVAVYFCW5BFH2DJMY2OKDI,"5 도널드 트럼프 미국 대통령이 최근 자동차 관세율을 25%로 예고한 가운데, 글로벌 자동차 업체들이 대응책 마련에 나서고 있다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,LEVEL,25.0,2025,2024,122850915.0,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,미국 자동차 관세 예고,N/A,,,,,판단불가,,KOSIS 미제공: 미국 자동차 관세 예고,,N,N/A,N/A,N/A,N/A,N/A,N
53,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C07664,970,지난달 IT 수출액 늘었지만… 對中 반도체 수출은 30% ‘뚝’,2025-03-16,https://www.chosun.com/economy/industry-company/2025/03/16/YTIMRXZ7Z5EUFFJHJSX6EFBY3U,"지역별로는 미국(11.5%), 베트남(15.6%), 대만(124.3%), 인도(54.9%) 등에서 ICT 수출이 증가했지만 중국(-19.6%), 유럽연합(-7.6%), 일본(-5.7%) 등에서는 감소했다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,CHANGE_RATE,-5.7,2025,2024,-3.843459068703951,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,,수동확정,2026-07-14,Y,N,지역·분류 불일치,,,,,,,,,,,ICT 품목과 국가를 동시에 교차한 분류가 현재 코드북에 없음,N/A,,,,,판단불가,,지역·분류 불일치: ICT 품목과 국가를 동시에 교차한 분류가 현재 코드북에 없음,,N,N/A,N/A,N/A,N/A,N/A,N
54,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C08645,1120,"대미 수출의 27%, 車가 흔들린다… GM의 한국 공장 최대 타격",2025-03-28,https://www.chosun.com/economy/auto/2025/03/28/7PKR6UAHUZCMZOYVHUBNJ76PNU,"한국무역협회에 따르면, 지난해 대미 자동차 수출액은 347억달러(약 51조원)를 웃돌며 미국으로 향한 전체 수출(1278억달러)의 27.1%를 차지했다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,LEVEL,1278.0,2024,2023,1277.61371,일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,,수동확정,2026-07-14,Y,N,지역·분류 불일치,,,,,,,,,,,자동차 품목과 미국 국가를 동시에 교차해야 함,N/A,,,,,판단불가,,지역·분류 불일치: 자동차 품목과 미국 국가를 동시에 교차해야 함,,N,N/A,N/A,N/A,N/A,N/A,N
